City Name,Temperature,Maximum Temp,Wind,Cloudiness,Latitude,Longitude
Bolobo,24.39,24.39,2.05,79,-2.1667,16.2333
Edd,27.94,27.94,8.92,0,13.9297,41.6925
Igarka,-28.91,-28.91,2.97,99,67.4667,86.5833
Whitehorse,-6.77,-3.33,1.54,20,60.7161,-135.0538
Hamilton,18.42,19.0,5.66,1,39.1834,-84.5333
General José Eduvigis Díaz,29.06,30.0,2.57,20,-27.1667,-58.4167
Alofi,28.0,28.0,5.14,40,-19.0595,-169.9187
The Valley,25.88,26.0,6.17,40,18.217,-63.0578
Chimbote,24.36,24.36,2.96,45,-9.0853,-78.5783
Pangai,27.0,27.0,3.09,20,-19.8,-174.35
Chapais,-1.0,-1.0,3.6,1,49.7834,-74.8492
Linköping,-2.74,-2.0,3.6,90,58.4109,15.6216
Vardø,-11.5,-11.0,6.69,0,70.3705,31.1107
Kavaratti,27.79,27.79,3.84,97,10.5669,72.642
Mt. Pleasant,16.02,17.0,3.09,1,32.7941,-79.8626
Padang,23.0,23.0,1.03,75,-0.9492,100.3543
Dudinka,-28.98,-28.98,2.84,100,69.4058,86.1778
Sitka,4.0,4.0,4.12,40,57.0531,-135.33
Ambanja,23.35,23.35,1.51,99,-13.6833,48.45
Kiryat Gat,17.35,17.78,0.45,51,31.61,34.7642
Madimba,26.03,26.03,4.29,67,-10.4,40.3333
Bathsheba,26.0,26.0,7.72,40,13.2167,-59.5167
Sharjah city,21.67,23.0,2.06,0,25.3573,55.4033
Margate,5.79,6.11,1.34,69,51.3813,1.3862
Nioro,27.52,27.52,4.38,0,13.35,-15.75
Vanavara,-13.83,-13.83,3.71,100,60.34,102.2797
Ostrovnoy,-6.1,-6.1,4.29,100,68.0531,39.5131
Galle,24.49,24.49,1.74,51,6.0367,80.217
Los Llanos de Aridane,14.79,17.0,8.23,75,28.6585,-17.9182
Kostomuksha,-18.94,-18.94,3.0,53,64.571,30.5767
Lida,-8.96,-8.96,2.7,30,53.8833,25.2997
Saint-Philippe,21.68,24.0,2.57,0,-21.3585,55.7679
Hurghada,17.0,17.0,2.86,0,27.2574,33.8129
São Gabriel da Cachoeira,23.52,23.52,1.31,99,-0.1303,-67.0892
Bambous Virieux,24.47,25.0,1.54,20,-20.3428,57.7575
Talcahuano,18.0,18.0,3.6,0,-36.7167,-73.1167
Ugoofaaru,28.48,28.48,5.79,99,5.6667,73.0
Ovsyanka,-15.0,-15.0,2.0,0,55.9575,92.5519
Las Vegas,16.62,17.22,8.75,1,36.175,-115.1372
San Jose de Guanipa,27.92,27.92,6.33,81,8.8872,-64.1651
Sakakah,17.0,17.0,1.54,0,29.9697,40.2064
Coyhaique,14.0,14.0,3.09,90,-45.5752,-72.0662
Adelaide,19.53,20.56,2.06,0,-34.9333,138.6
Egvekinot,-33.57,-33.57,0.68,52,66.3167,-179.1667
Port Elizabeth,18.0,18.0,2.57,0,-33.918,25.5701
Moirāng,12.09,12.09,0.29,0,24.5,93.7667
Gari,-20.13,-20.13,1.39,59,59.4307,62.3497
Meulaboh,23.1,23.1,2.9,21,4.1363,96.1285
Severodvinsk,-18.0,-18.0,2.0,75,64.5635,39.8302
Vaitape,28.0,28.0,7.49,75,-16.5167,-151.75
Yeniseysk,-8.24,-8.24,3.47,100,58.4497,92.1703
Cabedelo,26.6,26.6,4.87,1,-6.9811,-34.8339
Havre-St-Pierre,-3.0,-3.0,6.17,1,50.2334,-63.5986
Ketchikan,6.0,6.0,5.14,20,55.3422,-131.6461
Dunedin,13.89,13.89,1.34,100,-45.8742,170.5036
Khovd,-4.19,-4.19,2.79,0,48.0056,91.6419
Buala,28.79,28.79,1.12,19,-8.145,159.5921
Sangmélima,20.88,20.88,1.24,66,2.9333,11.9833
Khargone,23.18,23.18,2.02,4,21.8167,75.6
Santa Maria,25.0,25.0,1.54,20,-29.6842,-53.8069
Broşteni,-0.54,0.0,0.9,100,47.2333,25.7
Suntar,-12.87,-12.87,5.79,100,62.1444,117.6319
Preeceville,-3.9,-3.9,3.36,100,51.95,-102.6677
Ionia,16.79,18.0,3.6,1,42.9873,-85.0711
Tiksi,-25.69,-25.69,2.0,77,71.6872,128.8694
Izumo,2.0,2.0,1.54,75,35.3667,132.7667
Atbasar,-10.58,-10.58,4.05,100,51.8,68.3333
